Category,Attribute,Value
Environmental Tolerance,Drought Tolerance,4
Environmental Tolerance,Shade Tolerance,3
Environmental Tolerance,Flood Tolerance,3
Environmental Tolerance,Low Fertility Tolerance,4
Environmental Tolerance,Salinity Tolerance,2
Growth,Winter Survival,Seldom
Growth,Active Growth Period,Spring and Summer
Growth,Duration,Annual
Growth,Growing Window,Medium
Growth,Ease of Establishment,5
Cover Crop Type,,Grass
Environmental Tolerance,Heat Tolerance,4
Seeds,Seed Price per Pound,1
Beneficials,Supports Mycorrhizae,5
Growth,Establishes Quickly,3
Roots,Root Architecture,Fibrous
Roots,Root Depth,Medium
Termination Methods,Tillage Termination at Vegetative,1
Termination Methods,Tillage Termination at Flowering,1
Termination Methods,Freezing Termination at Vegetative,3
Termination Methods,Chemical Termination at Flowering,5
Termination Methods,Mow Termination at Flowering,4
Termination Methods,Chemical Termination at Vegetative,5
Termination Methods,Roller Crimp Tolerance at Flowering,5
Weeds,Volunteer Establishment,5
Weeds,Persistence,1
Disease & Non Weed Pests,Disoucrages Nematodes,4
Disease & Non Weed Pests,Promotes Nematodes,1
Disease & Non Weed Pests,Discourages Pest Insects,4
Disease & Non Weed Pests,Promotes Pest Insects,1
Disease & Non Weed Pests,Suppresses Cash Crop Disease,2
Disease & Non Weed Pests,Promotes Cash Crop Disease,3
